timestamp,filename,predicted_emotion,confidence,top_3_probabilities,all_probabilities,file_size_mb,file_path,analysis_timestamp,model_used,feature_type,dataset_trained_on,analysis_notes,has_visualization,pdf_report_available,audio_duration_seconds,sample_rate_hz,audio_samples
2025-10-07 14:59:18,Recording.wav,fearful,0.1828846153846154,"{""fearful"": 0.1828846153846154, ""disgust"": 0.16596153846153847, ""angry"": 0.1501923076923077}","{""angry"": 0.1501923076923077, ""calm"": 0.1025, ""disgust"": 0.16596153846153847, ""fearful"": 0.1828846153846154, ""happy"": 0.1076923076923077, ""neutral"": 0.0825, ""sad"": 0.10788461538461538, ""surprised"": 0.10038461538461538}",,,,,,,,,,,,
2025-10-07 15:08:35,Recording.wav,fearful,0.1828846153846154,"{""fearful"": 0.1828846153846154, ""disgust"": 0.16596153846153847, ""angry"": 0.1501923076923077}","{""angry"": 0.1501923076923077, ""calm"": 0.1025, ""disgust"": 0.16596153846153847, ""fearful"": 0.1828846153846154, ""happy"": 0.1076923076923077, ""neutral"": 0.0825, ""sad"": 0.10788461538461538, ""surprised"": 0.10038461538461538}",,,,,,,,,,,,
2025-10-07 15:16:05,Recording_2.wav,disgust,0.1934615384615384,"{""disgust"": 0.19346153846153846, ""fearful"": 0.1503846153846154, ""sad"": 0.13538461538461538}","{""angry"": 0.1251923076923077, ""calm"": 0.085, ""disgust"": 0.19346153846153846, ""fearful"": 0.1503846153846154, ""happy"": 0.1126923076923077, ""neutral"": 0.0725, ""sad"": 0.13538461538461538, ""surprised"": 0.12538461538461537}",,,,,,,,,,,,
2025-10-07 15:19:56,Recording.wav,fearful,0.1828846153846154,"{""fearful"": 0.1828846153846154, ""disgust"": 0.16596153846153847, ""angry"": 0.1501923076923077}","{""angry"": 0.1501923076923077, ""calm"": 0.1025, ""disgust"": 0.16596153846153847, ""fearful"": 0.1828846153846154, ""happy"": 0.1076923076923077, ""neutral"": 0.0825, ""sad"": 0.10788461538461538, ""surprised"": 0.10038461538461538}",,,,,,,,,,,,
2025-10-07 15:26:04,Recording.wav,fearful,0.1828846153846154,"{""fearful"": 0.1828846153846154, ""disgust"": 0.16596153846153847, ""angry"": 0.1501923076923077}","{""angry"": 0.1501923076923077, ""calm"": 0.1025, ""disgust"": 0.16596153846153847, ""fearful"": 0.1828846153846154, ""happy"": 0.1076923076923077, ""neutral"": 0.0825, ""sad"": 0.10788461538461538, ""surprised"": 0.10038461538461538}",,,,,,,,,,,,
2025-10-07 16:03:28,Recording.wav,angry,0.42,"{""angry"": 0.42, ""fearful"": 0.1975, ""happy"": 0.1175}","{""angry"": 0.42, ""calm"": 0.01, ""disgust"": 0.085, ""fearful"": 0.1975, ""happy"": 0.1175, ""neutral"": 0.01, ""sad"": 0.05, ""surprised"": 0.11}",,,,,,,,,,,,
2025-10-07 16:04:05,recording_20251007_160359.wav,fearful,0.285,"{""fearful"": 0.285, ""angry"": 0.2325, ""disgust"": 0.175}","{""angry"": 0.2325, ""calm"": 0.04, ""disgust"": 0.175, ""fearful"": 0.285, ""happy"": 0.1075, ""neutral"": 0.0225, ""sad"": 0.05, ""surprised"": 0.0875}",,,,,,,,,,,,
2025-10-07 16:04:22,recording_20251007_160417.wav,fearful,0.28,"{""fearful"": 0.28, ""happy"": 0.1875, ""angry"": 0.1675}","{""angry"": 0.1675, ""calm"": 0.03, ""disgust"": 0.11, ""fearful"": 0.28, ""happy"": 0.1875, ""neutral"": 0.0225, ""sad"": 0.13, ""surprised"": 0.0725}",,,,,,,,,,,,
2025-10-07 16:20:51,Recording_2.wav,angry,0.3925,"{""angry"": 0.3925, ""fearful"": 0.1725, ""happy"": 0.170078125}","{""angry"": 0.3925, ""calm"": 0.0075, ""disgust"": 0.08, ""fearful"": 0.1725, ""happy"": 0.170078125, ""neutral"": 0.015, ""sad"": 0.090078125, ""surprised"": 0.07234375}",,,,,,,,,,,,
2025-10-07 23:46:24,recording_20251007_234551.wav,angry,0.3125,"{""angry"": 0.3125, ""fearful"": 0.26, ""happy"": 0.195}","{""angry"": 0.3125, ""calm"": 0.015, ""disgust"": 0.1175, ""fearful"": 0.26, ""happy"": 0.195, ""neutral"": 0.0025, ""sad"": 0.0475, ""surprised"": 0.05}",,,,,,,,,,,,
2025-10-07 23:48:36,sample-15s.mp3,angry,0.3475,"{""angry"": 0.3475, ""fearful"": 0.2225, ""happy"": 0.16}","{""angry"": 0.3475, ""calm"": 0.0175, ""disgust"": 0.12, ""fearful"": 0.2225, ""happy"": 0.16, ""neutral"": 0.0175, ""sad"": 0.0525, ""surprised"": 0.0625}",,,,,,,,,,,,
2025-10-11 09:52:42,sample-15s.mp3,angry,0.3225,"{""angry"": 0.3225, ""fearful"": 0.245, ""happy"": 0.175}","{""angry"": 0.3225, ""calm"": 0.0275, ""disgust"": 0.0925, ""fearful"": 0.245, ""happy"": 0.175, ""neutral"": 0.0175, ""sad"": 0.0625, ""surprised"": 0.0575}",,,,,,,,,,,,
2025-10-11 09:54:11,recording_20251011_095408.wav,angry,0.3775,"{""angry"": 0.3775, ""happy"": 0.175, ""disgust"": 0.155}","{""angry"": 0.3775, ""calm"": 0.02, ""disgust"": 0.155, ""fearful"": 0.1475, ""happy"": 0.175, ""neutral"": 0.0125, ""sad"": 0.0325, ""surprised"": 0.08}",,,,,,,,,,,,
